simSteps Time(ms) Input(Iapp) Output(V_axon)
650 0.033 0.000 -57.29173895
651 0.033 0.000 -57.29176432
652 0.033 0.000 -57.29179026
653 0.033 0.000 -57.29181678
654 0.033 0.000 -57.29184389
655 0.033 0.000 -57.29187158
656 0.033 0.000 -57.29189987
657 0.033 0.000 -57.29192874
658 0.033 0.000 -57.29195822
659 0.033 0.000 -57.29198830
660 0.033 0.000 -57.29201898
661 0.033 0.000 -57.29205028
662 0.033 0.000 -57.29208218
663 0.033 0.000 -57.29211471
664 0.033 0.000 -57.29214785
665 0.033 0.000 -57.29218162
666 0.033 0.000 -57.29221602
667 0.033 0.000 -57.29225105
668 0.033 0.000 -57.29228671
669 0.033 0.000 -57.29232301
670 0.034 0.000 -57.29235995
671 0.034 0.000 -57.29239754
672 0.034 0.000 -57.29243577
673 0.034 0.000 -57.29247466
674 0.034 0.000 -57.29251420
675 0.034 0.000 -57.29255439
676 0.034 0.000 -57.29259525
677 0.034 0.000 -57.29263677
678 0.034 0.000 -57.29267895
679 0.034 0.000 -57.29272181
680 0.034 0.000 -57.29276533
681 0.034 0.000 -57.29280954
682 0.034 0.000 -57.29285441
683 0.034 0.000 -57.29289997
684 0.034 0.000 -57.29294621
685 0.034 0.000 -57.29299314
686 0.034 0.000 -57.29304076
687 0.034 0.000 -57.29308906
688 0.034 0.000 -57.29313806
689 0.034 0.000 -57.29318776
690 0.035 0.000 -57.29323815
691 0.035 0.000 -57.29328924
692 0.035 0.000 -57.29334104
693 0.035 0.000 -57.29339354
694 0.035 0.000 -57.29344675
695 0.035 0.000 -57.29350067
696 0.035 0.000 -57.29355530
697 0.035 0.000 -57.29361065
698 0.035 0.000 -57.29366671
699 0.035 0.000 -57.29372349
700 0.035 0.000 -57.29378099
701 0.035 0.000 -57.29383921
702 0.035 0.000 -57.29389816
703 0.035 0.000 -57.29395783
704 0.035 0.000 -57.29401824
705 0.035 0.000 -57.29407937
706 0.035 0.000 -57.29414123
707 0.035 0.000 -57.29420383
708 0.035 0.000 -57.29426716
709 0.035 0.000 -57.29433123
710 0.035 0.000 -57.29439604
711 0.036 0.000 -57.29446159
712 0.036 0.000 -57.29452789
713 0.036 0.000 -57.29459492
714 0.036 0.000 -57.29466270
715 0.036 0.000 -57.29473123
716 0.036 0.000 -57.29480050
717 0.036 0.000 -57.29487053
718 0.036 0.000 -57.29494130
719 0.036 0.000 -57.29501283
720 0.036 0.000 -57.29508511
721 0.036 0.000 -57.29515815
722 0.036 0.000 -57.29523194
723 0.036 0.000 -57.29530649
724 0.036 0.000 -57.29538180
725 0.036 0.000 -57.29545787
726 0.036 0.000 -57.29553470
727 0.036 0.000 -57.29561229
728 0.036 0.000 -57.29569064
729 0.036 0.000 -57.29576976
730 0.036 0.000 -57.29584964
731 0.037 0.000 -57.29593029
732 0.037 0.000 -57.29601170
733 0.037 0.000 -57.29609389
